layer,tensor_name,max_abs_diff,mean_abs_diff,argmax_idx,earliest_nonzero
27,prefix_K_vs_full_slice,2.861023e-06,3.229732e-07,,yes
27,prefix_V_vs_full_slice,1.728535e-06,2.467731e-07,,yes
28,prefix_K_vs_full_slice,2.384186e-06,3.094588e-07,,yes
28,prefix_V_vs_full_slice,1.907349e-06,2.789436e-07,,yes
29,prefix_K_vs_full_slice,2.861023e-06,3.153073e-07,,yes
29,prefix_V_vs_full_slice,2.682209e-06,3.427066e-07,,yes
30,prefix_K_vs_full_slice,2.384186e-06,2.926068e-07,,yes
30,prefix_V_vs_full_slice,2.697110e-06,3.400065e-07,,yes
31,prefix_K_vs_full_slice,2.384186e-06,2.845486e-07,,yes
31,prefix_V_vs_full_slice,2.622604e-06,3.562065e-07,,yes
